"race_grp","weight_actual_division","Division"
"American Indian or Alaska Native",0.617461715285866,"East South Central"
"Asian",1.43857773355224,"East South Central"
"Black",0.932088059250705,"East South Central"
"Native Hawaiian or Other Pacific Islander",1.85667487605466,"East South Central"
"White",1.01239036982627,"East South Central"
"American Indian or Alaska Native",1.62719605721952,"Pacific"
"Asian",1.12272993883144,"Pacific"
"Black",0.849982245453552,"Pacific"
"Hispanic",0.922936788378456,"Pacific"
"Native Hawaiian or Other Pacific Islander",1.71322111798362,"Pacific"
"White",1.00661519240941,"Pacific"
"American Indian or Alaska Native",1.22680221012407,"Mountain"
"Asian",1.3500022754633,"Mountain"
"Black",0.80101017042099,"Mountain"
"Hispanic",0.766271324013758,"Mountain"
"White",1.067158457409,"Mountain"
"American Indian or Alaska Native",0.858716904059242,"West South Central"
"Asian",1.65013384834494,"West South Central"
"Black",0.78932502589425,"West South Central"
"Hispanic",0.965603365888757,"West South Central"
"Native Hawaiian or Other Pacific Islander",1.94464486508997,"West South Central"
"White",1.01674306811169,"West South Central"
"Native Hawaiian or Other Pacific Islander",1.4803523500511,"Mountain"
"American Indian or Alaska Native",0.647588207024129,"New England"
"Asian",0.796241512275746,"New England"
"Black",0.891198168705328,"New England"
"Hispanic",0.709323813131468,"New England"
"White",1.05027003881408,"New England"
"Asian",1.15552318909882,"South Atlantic"
"Black",0.839760569130575,"South Atlantic"
"Hispanic",0.896715995422418,"South Atlantic"
"White",1.05695954539627,"South Atlantic"
"American Indian or Alaska Native",1.09089575565239,"South Atlantic"
"Native Hawaiian or Other Pacific Islander",2.15566066532093,"South Atlantic"
"American Indian or Alaska Native",1.88371152088219,"East North Central"
"Asian",1.16095113520637,"East North Central"
"Black",0.71997916512176,"East North Central"
"Hispanic",0.79103723090199,"East North Central"
"Native Hawaiian or Other Pacific Islander",8.20433995413438,"East North Central"
"White",1.05779410456032,"East North Central"
"American Indian or Alaska Native",0.653471039715972,"West North Central"
"Asian",0.896694737393699,"West North Central"
"Black",0.757207149937408,"West North Central"
"Hispanic",0.874209952841159,"West North Central"
"White",1.02567632313685,"West North Central"
"Native Hawaiian or Other Pacific Islander",1.90913736460191,"New England"
"Hispanic",0.955695219312484,"East South Central"
"Native Hawaiian or Other Pacific Islander",3.13429019451899,"West North Central"
"Asian",1.22535324932524,"Middle Atlantic"
"Black",0.640864279747592,"Middle Atlantic"
"Hispanic",0.720924880963706,"Middle Atlantic"
"White",1.09959926573735,"Middle Atlantic"
"American Indian or Alaska Native",0.122199139858903,"Middle Atlantic"
"Native Hawaiian or Other Pacific Islander",11.7334402920489,"Middle Atlantic"
