"state_name","race_grp","value","value_adj","pop_share_agg","pop_weighted","pop_share_agg_adj","effective_demand"
"Alabama","American Indian or Alaska Native",0.002,0.00270771417669166,0.00415745702184667,4579.1102103187,0.00431199811830641,0.627948830774338
"Alabama","Asian",0.015,0.0203078563251874,0.0117937546480777,15832.8190752923,0.012232152391004,1.6602030187363
"Alabama","Black",0.173,0.234217276283828,0.23586836734938,293522.812340946,0.244636072203284,0.957411039894401
"Alabama","Hispanic",,,0.0244680494587979,42818.634,,
"Alabama","Native Hawaiian or Other Pacific Islander",0.000630398,0.000853468800779033,0.000386072131737742,429.148794038526,0.000400423214680458,2.13141688465817
"Alabama","Other",,,0.0113717380874068,14061.8473006906,,
"Alabama","White",0.548,0.741913684413514,0.711954561302753,738914.197278714,0.738419354072725,1.00473217599392
"Alaska","American Indian or Alaska Native",0.335545723302376,0.329964147690327,0.131303091586964,10563.2243314082,0.138445846264642,2.38334451045641
"Alaska","Asian",0.0722713869344713,0.071945266140293,0.0666319742975274,5215.83548019845,0.070256685950119,1.02403444123984
"Alaska","Black",0.0228613567164036,0.022032822846818,0.0247887924705612,2023.8281083129,0.0261372775765331,0.842965484155847
"Alaska","Hispanic",0.032869508,0.0452430945447674,0.0555727642000596,4823.479339005,0.058595866067989,0.772120929013518
"Alaska","Native Hawaiian or Other Pacific Islander",0.00958701996557146,0.00927933286363102,0.0106209938216523,867.761680852846,0.0111987650864739,0.828603224728661
"Alaska","Other",,,0.0515924086593708,4228.06284042058,,
"Alaska","White",0.559734513081178,0.521535335914164,0.659489974963864,51680.63299661,0.695365559054243,0.750016058637556
"Arizona","American Indian or Alaska Native",0.026,0.0386329866270431,0.0312023321797588,44731.5081945198,0.0316705870018607,1.21983803535985
"Arizona","Asian",0.031,0.0460624071322437,0.0302774665722037,43687.243703711,0.0307318418939517,1.49884954150142
"Arizona","Black",0.019,0.0282317979197623,0.0357788931212739,51572.6478067649,0.0363158286021536,0.777396496416113
"Arizona","Hispanic",0.102,0.151560178306092,0.225401527460408,339147.612561554,0.228784138463151,0.662459291645793
"Arizona","Native Hawaiian or Other Pacific Islander",,,0.00134252884689672,2030.61417221365,,
"Arizona","Other",,,0.013442635131101,21469.8634524888,,
"Arizona","White",0.495,0.735512630014859,0.662554616688358,873968.339379056,0.672497604038883,1.09370297469838
"Arkansas","American Indian or Alaska Native",0.00229357798165138,0.002134101485513,0.00565037295543177,2266.58125190431,0.00572882470356354,0.37251994884492
"Arkansas","Asian",0.0137614678899083,0.0136350467747835,0.0128831035213709,5417.26785756123,0.0130619770223922,1.04387312513327
"Arkansas","Black",0.11697247706422,0.115354184062613,0.133859525322547,53211.2362218241,0.135718077642629,0.849954450182843
"Arkansas","Hispanic",0.102,0.102,0.0485400768934263,19876.2762762763,0.0492140242446501,2.07257995186378
"Arkansas","Native Hawaiian or Other Pacific Islander",0.00114678899082569,0.00111033417925024,0.0017171431911088,668.182551335665,0.001740984605861,0.637762203934668
"Arkansas","Other",,,0.0136942134191984,5258.53521177617,,
"Arkansas","White",0.865825688073395,0.76576633349784,0.783655564696917,292373.870579272,0.794536111780904,0.96379047112336
"California","American Indian or Alaska Native",0.003,0.00463678516228748,0.0039455781520887,38533.4315370855,0.00403166452211575,1.15009201208393
"California","Asian",0.118,0.182380216383308,0.158373055914872,1630428.7724462,0.161828509328356,1.12699682608614
"California","Black",0.03,0.0463678516228748,0.054182920815199,566069.904267261,0.0553651077573014,0.837492303385971
"California","Hispanic",0.195,0.301391035548686,0.319076143912075,3773118.039,0.326037888410047,0.924404942684567
"California","Native Hawaiian or Other Pacific Islander",0.004,0.00618238021638331,0.00338490419972363,37443.1671640198,0.00345875753736168,1.78745695516408
"California","Other",,,0.0213525628322549,261970.130147882,,
"California","White",0.297,0.459041731066461,0.439684834173787,4040528.37543755,0.449278072444819,1.02173188325998
"Colorado","American Indian or Alaska Native",0.0046,0.00534572922719349,0.00544502932148403,3032.03541548802,0.00553309480808307,0.96613729072275
"Colorado","Asian",0.0229,0.0266124346310285,0.0300059961337553,19338.2756554669,0.0304912997922649,0.872787805450641
"Colorado","Black",0.0244,0.0283556072051133,0.0339717401902084,21605.8976662866,0.0345211840322576,0.8213972956031
"Colorado","Hispanic",0.0816,0.094828588030215,0.160566087844693,105413.800838574,0.163163012456569,0.581189245053053
"Colorado","Native Hawaiian or Other Pacific Islander",0.0019,0.00220801859384079,0.00101497773484541,731.089733725591,0.00103139353406869,2.14081097166713
"Colorado","Other",,,0.01591613548179,10697.3782727159,,
"Colorado","White",0.7251,0.842649622312609,0.753080033293224,447489.187087803,0.765260015376757,1.10112851237596
"Connecticut","American Indian or Alaska Native",0.002,0.00233918128654971,0.00173962493337163,695.992383621805,0.00175872457216428,1.33004412605159
"Connecticut","Asian",0.027,0.0315789473684211,0.0364819950658475,15157.4787670885,0.0368825371107598,0.856203229012911
"Connecticut","Black",0.056,0.0654970760233918,0.0830307555868255,34191.5597119503,0.0839423644112149,0.780262463212691
"Connecticut","Hispanic",0.069,0.0807017543859649,0.106559027407208,44586.637,0.107728957140067,0.749118496348558
"Connecticut","Native Hawaiian or Other Pacific Islander",,,0.000140118834023898,60.3036779011886,,
"Connecticut","Other",,,0.0107198185859374,4410.7107260977,,
"Connecticut","White",0.701,0.819883040935672,0.761328659586786,297299.781733341,0.769687416765794,1.06521559671691
"Delaware","American Indian or Alaska Native",,,0.00356385088914883,662.659956191327,,
"Delaware","Asian",0.037037037037037,0.0368777393337432,0.0336829885364641,6230.78329514151,0.0341413602528843,1.08014850786819
"Delaware","Black",0.123456790123457,0.12228723814044,0.181252186372049,33763.0002109533,0.183718739352713,0.665622018588246
"Delaware","Hispanic",0.03,0.0379746835443038,0.0543649475511546,10070.1212121212,0.0551047677216583,0.689136078680507
"Delaware","Native Hawaiian or Other Pacific Islander",,,9.81467997397066e-05,19.3565431230538,,
"Delaware","Other",,,0.00976370395349271,1836.49745481253,,
"Delaware","White",0.839506172839506,0.802860338981512,0.717274175897951,133621.308600384,0.727035132672745,1.10429373066198
"District of Columbia","American Indian or Alaska Native",,,0.00244814291827784,543.06258264689,,
"District of Columbia","Asian",,,0.0383586920373125,7670.08124470424,,
"District of Columbia","Black",0.468836066225885,0.454591088158043,0.471100232529522,73603.8319237085,0.500441104459184,0.908380794677747
"District of Columbia","Hispanic",0.054330622,0.0774746217085372,0.0878551023046461,17357.84054235,0.0933268578400808,0.830142828137351
"District of Columbia","Native Hawaiian or Other Pacific Islander",,,0.000104027891244482,32.0201888295462,,
