"race_grp","Date","nat_race","nat_race_agg","project","nat_pop_race","nat_pop_agg"
"American Indian or Alaska Native",2021-03-15,32.0002001079079,27.3380724138818,,1578661.68748209,247431811
"American Indian or Alaska Native",2021-03-29,42.1384595664561,36.5100747154794,,1578661.68748209,247431811
"American Indian or Alaska Native",2021-04-05,43.6726880552876,40.0281918104704,,1578661.68748209,247431811
"American Indian or Alaska Native",2021-04-12,47.6258166743761,46.2619943665181,,1578661.68748209,247431811
"American Indian or Alaska Native",2021-04-19,50.4689404528023,50.4678797375552,,1578661.68748209,247431811
"American Indian or Alaska Native",2021-04-26,51.576197329891,53.6282870328416,,1578661.68748209,247431811
"American Indian or Alaska Native",2021-05-03,53.6320551055219,55.9557162078144,,1578661.68748209,247431811
"American Indian or Alaska Native",2021-05-10,55.2894355840148,57.8153166780243,,1578661.68748209,247431811
"American Indian or Alaska Native",2021-05-17,54.8762328452223,59.3786718946541,,1578661.68748209,247431811
"American Indian or Alaska Native",2021-05-24,57.9643572926803,61.004351841713,,1578661.68748209,247431811
"Asian",2021-03-15,28.8828194935413,27.3380724138818,,14602368.7611932,247431811
"Asian",2021-03-29,40.7238615789926,36.5100747154794,,14602368.7611932,247431811
"Asian",2021-04-05,45.9900880013508,40.0281918104704,,14602368.7611932,247431811
"Asian",2021-04-12,55.306598956441,46.2619943665181,,14602368.7611932,247431811
"Asian",2021-04-19,63.3783779721835,50.4678797375552,,14602368.7611932,247431811
"Asian",2021-04-26,70.2846589249965,53.6282870328416,,14602368.7611932,247431811
"Asian",2021-05-03,74.533868673043,55.9557162078144,,14602368.7611932,247431811
"Asian",2021-05-10,77.5259263238117,57.8153166780243,,14602368.7611932,247431811
"Asian",2021-05-17,79.7175287433981,59.3786718946541,,14602368.7611932,247431811
"Asian",2021-05-24,81.7063222732884,61.004351841713,,14602368.7611932,247431811
"Black",2021-03-15,18.6790565835032,27.3380724138818,,29312025.5482743,247431811
"Black",2021-03-29,25.8139574861309,36.5100747154794,,29312025.5482743,247431811
"Black",2021-04-05,29.3419368674695,40.0281918104704,,29312025.5482743,247431811
"Black",2021-04-12,33.2530211244585,46.2619943665181,,29312025.5482743,247431811
"Black",2021-04-19,36.9011908735576,50.4678797375552,,29312025.5482743,247431811
"Black",2021-04-26,39.4487585484845,53.6282870328416,,29312025.5482743,247431811
"Black",2021-05-03,41.6023234853938,55.9557162078144,,29312025.5482743,247431811
"Black",2021-05-10,43.510094566699,57.8153166780243,,29312025.5482743,247431811
