"state_name","race_grp","state_pop"
"Alabama","White",2582106.82430104
"Alabama","Black",989690.51928262
"Alabama","Asian",51976.8295681312
"Alabama","Hispanic",134954
"Alabama","Other",46900.1284065392
"Alabama","Native Hawaiian or Other Pacific Islander",1435.20682967512
"Alabama","American Indian or Alaska Native",15980.4916119912
"Alaska","White",344468.895893115
"Alaska","American Indian or Alaska Native",74581.4963155116
"Alaska","Asian",35377.6985606391
"Alaska","Hispanic",35464
"Alaska","Black",13679.3297674525
"Alaska","Other",32642.9828516333
"Alaska","Native Hawaiian or Other Pacific Islander",6233.59661164803
"Arizona","American Indian or Alaska Native",202345.108229037
"Arizona","White",3299221.29967693
"Arizona","Hispanic",1613305
"Arizona","Asian",193305.745889486
"Arizona","Other",102537.246420298
"Arizona","Black",240274.228820425
"Arizona","Native Hawaiian or Other Pacific Islander",9149.37096382326
"Arkansas","White",1731324.31033345
"Arkansas","Black",341571.249541595
"Arkansas","Hispanic",150636
"Arkansas","Asian",36445.4454467171
"Arkansas","Other",37577.4703162451
"Arkansas","American Indian or Alaska Native",13972.3537993334
"Arkansas","Native Hawaiian or Other Pacific Islander",6715.17056266451
"California","White",12085720.1444803
"California","Hispanic",11211973
"California","Other",776632.824967277
"California","Asian",4814093.15310195
"California","Black",1693721.38807484
"California","American Indian or Alaska Native",115038.514599409
"California","Native Hawaiian or Other Pacific Islander",111384.974776253
"Colorado","White",3202310.81728727
"Colorado","Hispanic",882385
"Colorado","Other",94806.9420981146
"Colorado","Asian",152277.587327273
"Colorado","American Indian or Alaska Native",23710.1100658792
"Colorado","Black",169879.79435252
"Colorado","Native Hawaiian or Other Pacific Islander",5598.74886894488
"Connecticut","White",1939453.9010983
"Connecticut","Hispanic",421289
"Connecticut","Black",274861.627115137
"Connecticut","Asian",129618.759942699
"Connecticut","Other",46955.8641523014
"Connecticut","American Indian or Alaska Native",4346.35032678183
"Connecticut","Native Hawaiian or Other Pacific Islander",786.497364775618
"Delaware","White",498472.313582291
"Delaware","Black",161167.522782582
"Delaware","Asian",30255.2080966684
"Delaware","Other",13038.5087627119
"Delaware","Hispanic",61276
"Delaware","American Indian or Alaska Native",2643.94790927547
"Delaware","Native Hawaiian or Other Pacific Islander",191.498866471119
"District of Columbia","Black",237611.283290336
"District of Columbia","White",219355.654926633
"District of Columbia","Hispanic",55060
"District of Columbia","Other",12067.02287675
"District of Columbia","Asian",23261.8392305418
"District of Columbia","American Indian or Alaska Native",1754.93997423583
"District of Columbia","Native Hawaiian or Other Pacific Islander",92.2597015026835
"Florida","White",9675299.55343289
"Florida","Black",2449342.62311229
"Florida","Hispanic",4383796
"Florida","Asian",488843.752465258
"Florida","Native Hawaiian or Other Pacific Islander",9104.22472880085
"Florida","Other",255892.014716218
"Florida","American Indian or Alaska Native",33933.8315445504
"Georgia","Asian",342522.163834829
"Georgia","Black",2510425.05143344
"Georgia","Other",117248.191863077
"Georgia","Native Hawaiian or Other Pacific Islander",3808.47322985694
"Georgia","White",4448521.60682305
"Georgia","Hispanic",686795
"Georgia","American Indian or Alaska Native",16746.5128157447
"Hawaii","Native Hawaiian or Other Pacific Islander",100197.173328133
"Hawaii","White",250349.076564573
"Hawaii","Other",180244.03689277
"Hawaii","Asian",459352.057558465
"Hawaii","Hispanic",93440
"Hawaii","Black",18476.1758640216
"Hawaii","American Indian or Alaska Native",1971.47979203757
"Idaho","White",1138287.89173052
"Idaho","Other",26823.2067607693
"Idaho","Hispanic",150833
"Idaho","American Indian or Alaska Native",12897.0191045319
"Idaho","Black",6568.12873277915
"Idaho","Asian",18420.4731407296
"Idaho","Native Hawaiian or Other Pacific Islander",1155.28053066618
"Illinois","White",6275129.10323572
"Illinois","Asian",575132.877142406
"Illinois","Other",148485.097433866
"Illinois","Black",1313084.10745332
"Illinois","Hispanic",1564001
"Illinois","American Indian or Alaska Native",8225.89161214973
"Illinois","Native Hawaiian or Other Pacific Islander",2366.92312253887
"Indiana","White",4173182.94239435
"Indiana","Hispanic",313191
"Indiana","Native Hawaiian or Other Pacific Islander",1679.39018817617
"Indiana","Other",78958.2252751427
"Indiana","Black",453570.847924427
"Indiana","Asian",123193.997547424
"Indiana","American Indian or Alaska Native",11023.5966704752
"Iowa","White",2114491.08858734
"Iowa","Hispanic",125287
"Iowa","Black",84580.6984425712
"Iowa","Other",27475.5242851443
"Iowa","Asian",58578.5460363641
"Iowa","American Indian or Alaska Native",7157.82163245685
"Iowa","Native Hawaiian or Other Pacific Islander",775.321016125164
"Kansas","White",1734868.65978089
"Kansas","Hispanic",228726
"Kansas","Black",118147.913865484
"Kansas","Asian",65316.4778031797
"Kansas","American Indian or Alaska Native",15227.7869480707
"Kansas","Other",49264.3975345595
"Kansas","Native Hawaiian or Other Pacific Islander",655.764067815728
"Kentucky","White",2969186.91985633
"Kentucky","Black",268271.756224023
"Kentucky","Hispanic",107985
"Kentucky","Other",45961.0177183072
"Kentucky","American Indian or Alaska Native",4554.33842422724
"Kentucky","Asian",54345.867149409
"Kentucky","Native Hawaiian or Other Pacific Islander",1953.10062769935
"Louisiana","White",2174693.08450053
"Louisiana","Black",1090530.66734737
"Louisiana","Hispanic",163617
"Louisiana","Asian",62205.0703368024
"Louisiana","Other",45825.045133164
"Louisiana","American Indian or Alaska Native",16235.0314906171
"Louisiana","Native Hawaiian or Other Pacific Islander",395.101191510284
"Maine","White",1027372.19071953
"Maine","Hispanic",16093
"Maine","Black",11612.2605157795
"Maine","Other",15143.1868608537
"Maine","Asian",12669.1262923354
"Maine","American Indian or Alaska Native",8182.04415082681
"Maine","Native Hawaiian or Other Pacific Islander",306.191460678365
"Maryland","White",2475953.32276884
"Maryland","Asian",309833.568950504
