"state_name","race_grp","value_adj"
"Alabama","American Indian or Alaska Native",0.00270771417669166
"Alabama","Asian",0.0203078563251874
"Alabama","Black",0.234217276283828
"Alabama","Hispanic",
"Alabama","Native Hawaiian or Other Pacific Islander",0.000853468800779033
"Alabama","Other",
"Alabama","White",0.741913684413514
"Alaska","American Indian or Alaska Native",0.329964147690327
"Alaska","Asian",0.071945266140293
"Alaska","Black",0.022032822846818
"Alaska","Hispanic",0.0452430945447674
"Alaska","Native Hawaiian or Other Pacific Islander",0.00927933286363102
"Alaska","Other",
"Alaska","White",0.521535335914164
"Arizona","American Indian or Alaska Native",0.0386329866270431
"Arizona","Asian",0.0460624071322437
"Arizona","Black",0.0282317979197623
"Arizona","Hispanic",0.151560178306092
"Arizona","Native Hawaiian or Other Pacific Islander",
"Arizona","Other",
"Arizona","White",0.735512630014859
"Arkansas","American Indian or Alaska Native",0.002134101485513
"Arkansas","Asian",0.0136350467747835
"Arkansas","Black",0.115354184062613
"Arkansas","Hispanic",0.102
"Arkansas","Native Hawaiian or Other Pacific Islander",0.00111033417925024
"Arkansas","Other",
"Arkansas","White",0.76576633349784
"California","American Indian or Alaska Native",0.00463678516228748
"California","Asian",0.182380216383308
"California","Black",0.0463678516228748
"California","Hispanic",0.301391035548686
"California","Native Hawaiian or Other Pacific Islander",0.00618238021638331
"California","Other",
"California","White",0.459041731066461
"Colorado","American Indian or Alaska Native",0.00534572922719349
"Colorado","Asian",0.0266124346310285
"Colorado","Black",0.0283556072051133
"Colorado","Hispanic",0.094828588030215
"Colorado","Native Hawaiian or Other Pacific Islander",0.00220801859384079
"Colorado","Other",
"Colorado","White",0.842649622312609
"Connecticut","American Indian or Alaska Native",0.00233918128654971
"Connecticut","Asian",0.0315789473684211
"Connecticut","Black",0.0654970760233918
"Connecticut","Hispanic",0.0807017543859649
"Connecticut","Native Hawaiian or Other Pacific Islander",
"Connecticut","Other",
"Connecticut","White",0.819883040935672
"Delaware","American Indian or Alaska Native",
"Delaware","Asian",0.0368777393337432
"Delaware","Black",0.12228723814044
"Delaware","Hispanic",0.0379746835443038
"Delaware","Native Hawaiian or Other Pacific Islander",
"Delaware","Other",
"Delaware","White",0.802860338981512
"District of Columbia","American Indian or Alaska Native",
"District of Columbia","Asian",
"District of Columbia","Black",0.454591088158043
"District of Columbia","Hispanic",0.0774746217085372
"District of Columbia","Native Hawaiian or Other Pacific Islander",
"District of Columbia","Other",
"District of Columbia","White",0.46793429013342
"Florida","American Indian or Alaska Native",0.00388570816205688
"Florida","Asian",
"Florida","Black",0.0827484438864871
"Florida","Hispanic",0.196602180895946
"Florida","Native Hawaiian or Other Pacific Islander",
"Florida","Other",
"Florida","White",0.71676366705551
"Georgia","American Indian or Alaska Native",0
"Georgia","Asian",0.053525626153436
"Georgia","Black",0.245500125199716
"Georgia","Hispanic",0.0405405405405405
"Georgia","Native Hawaiian or Other Pacific Islander",0
"Georgia","Other",
"Georgia","White",0.660433708106307
"Hawaii","American Indian or Alaska Native",
"Hawaii","Asian",0.575757575757576
"Hawaii","Black",0.0101010101010101
"Hawaii","Hispanic",
"Hawaii","Native Hawaiian or Other Pacific Islander",0.121212121212121
"Hawaii","Other",
"Hawaii","White",0.292929292929293
"Idaho","American Indian or Alaska Native",0.00723446236677388
"Idaho","Asian",0.0165816791454601
"Idaho","Black",0.00479543587655652
"Idaho","Hispanic",0.0644011080312692
"Idaho","Native Hawaiian or Other Pacific Islander",0.00444494745836293
"Idaho","Other",
"Idaho","White",0.902542367121577
"Illinois","American Indian or Alaska Native",0.0027652304873487
"Illinois","Asian",0.0594128410816139
"Illinois","Black",0.0942002363345292
"Illinois","Hispanic",0.110020963362405
"Illinois","Native Hawaiian or Other Pacific Islander",0.00192755585116297
"Illinois","Other",
"Illinois","White",0.731673172882941
"Indiana","American Indian or Alaska Native",
